Census Tract,African American,American Indian and Alaska Native,Asian,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,White
41067030101,0,0,40,0,0,0,16,229
41067030102,0,0,73,40,0,0,39,327
41067030200,0,0,0,37,0,0,27,347
41067030300,0,0,0,7,0,0,7,146
41067030401,11,42,0,42,0,0,0,150
41067030402,0,0,62,0,0,0,11,66
41067030501,0,0,0,131,0,66,0,189
41067030502,0,0,0,8,0,0,19,354
41067030600,0,0,0,33,0,0,30,291
41067030700,0,0,0,0,0,0,0,35
41067030801,9,14,0,171,0,0,76,475
41067030803,13,0,0,60,46,0,0,115
41067030805,0,0,24,19,0,0,42,186
41067030806,0,3,0,27,0,0,32,168
41067030900,50,29,0,168,0,0,0,359
41067031003,0,0,0,44,0,0,92,251
41067031004,37,0,0,0,0,0,40,228
41067031005,0,0,14,236,0,108,0,274
41067031006,0,0,0,88,0,0,135,365
41067031100,32,0,0,72,0,16,13,137
41067031200,0,0,0,183,0,64,19,260
41067031300,0,0,0,282,0,51,11,420
41067031402,0,0,26,52,0,17,43,135
41067031403,0,0,17,154,0,118,56,173
41067031404,0,0,13,43,0,0,13,241
41067031504,0,0,41,121,0,0,16,356
41067031506,0,0,11,10,0,0,40,166
41067031507,0,0,57,28,0,0,40,260
41067031508,12,0,107,0,0,0,40,288
41067031509,0,0,101,37,0,0,21,230
41067031511,0,0,6,11,0,0,0,140
41067031512,80,0,105,46,0,0,0,330
41067031513,0,0,340,69,0,31,63,187
41067031514,0,0,137,110,0,0,87,228
41067031606,45,0,61,343,0,77,65,442
41067031609,91,0,205,148,0,10,28,427
41067031610,15,0,50,153,0,52,25,191
41067031611,0,0,341,0,0,0,30,349
41067031612,80,0,29,55,0,0,21,252
41067031613,0,0,78,208,51,157,54,240
41067031614,0,0,85,42,2,20,25,246
41067031615,9,0,20,118,0,83,53,259
41067031616,0,0,40,75,0,44,5,137
41067031617,0,12,117,91,0,0,74,144
41067031703,0,0,41,237,0,69,57,336
41067031704,0,10,13,185,0,166,35,504
41067031705,79,15,0,58,0,0,38,322
41067031706,45,0,28,269,0,121,79,197
41067031804,0,0,7,0,0,0,102,155
41067031805,49,0,9,151,0,0,115,288
41067031806,0,0,63,179,0,78,23,269
41067031807,0,0,36,10,0,0,26,101
41067031812,0,0,28,10,0,0,30,194
41067031813,0,0,73,48,0,0,0,298
41067031814,0,0,35,19,0,0,31,151
41067031815,18,0,89,46,0,0,13,169
41067031904,0,0,26,80,0,0,57,181
41067031907,0,0,0,72,0,0,17,252
41067031908,0,0,80,58,0,0,70,238
41067031909,0,0,13,21,0,0,11,228
41067031910,0,0,45,69,0,36,97,324
41067031911,9,0,37,27,0,21,10,417
41067031912,0,0,0,36,0,0,10,232
41067032001,0,0,0,46,0,0,9,286
41067032003,25,0,40,51,0,0,41,191
41067032004,0,0,0,41,0,0,0,85
41067032005,9,0,0,176,13,0,46,302
41067032103,0,0,20,19,0,19,24,714
41067032104,0,10,11,10,0,0,0,309
41067032107,0,0,0,7,0,0,24,127
41067032108,0,0,0,58,0,12,27,243
41067032109,0,0,0,8,0,0,12,142
41067032110,23,0,0,31,0,0,0,99
41067032200,0,0,0,61,0,0,11,763
41067032300,20,0,60,60,0,0,29,325
41067032404,0,0,10,44,0,0,119,255
41067032406,0,0,6,35,0,0,87,430
41067032407,0,0,0,180,0,0,22,480
41067032408,0,0,205,90,0,0,147,287
41067032409,6,24,12,658,0,151,0,541
41067032410,0,0,0,311,0,25,91,276
41067032501,0,9,6,173,0,12,37,170
41067032502,11,0,12,52,0,0,61,169
41067032503,0,0,56,87,0,0,16,143
41067032603,0,0,17,212,0,0,69,392
41067032604,0,0,0,360,0,95,39,487
41067032606,0,0,0,196,0,0,53,272
41067032607,0,0,84,0,0,0,0,16
41067032608,0,0,17,36,0,13,7,127
41067032609,0,0,34,82,0,53,10,77
41067032610,0,0,5,52,0,8,41,180
41067032700,0,0,9,100,0,65,8,174
41067032800,0,0,0,0,0,0,0,95
41067032901,0,0,0,97,0,26,77,308
41067032902,0,0,0,476,0,85,53,393
41067033000,0,0,0,0,0,0,66,222
41067033101,0,12,0,127,0,36,67,118
41067033102,0,0,0,90,0,0,0,185
41067033200,0,0,41,143,0,85,53,266
41067033301,0,0,0,93,0,0,75,452
41067033302,0,0,0,32,0,7,18,274
41067033400,0,0,0,14,0,0,14,100
41067033500,0,0,0,32,0,0,0,248
41067033600,0,0,0,0,0,0,0,83
